Date,Portfolio,Portfolio Daily Return %,Portfolio Value,Portfolio Cumulative Return %
2026-02-25,Conservative,1.1440000000000001,9956.055,-0.439
2026-02-25,Growth,1.317,9552.487,-4.475
2026-02-26,Conservative,0.29900000000000004,9985.824,-0.142
2026-02-26,Growth,-2.582,9305.842,-6.942
2026-02-27,Conservative,-0.9199999999999998,9893.954,-1.06
2026-02-27,Growth,-2.0124999999999997,9118.562,-8.814
2026-03-02,Conservative,-0.08700000000000002,9885.347,-1.147
2026-03-02,Growth,0.7945000000000001,9191.009,-8.09
2026-03-03,Conservative,0.18900000000000003,9904.03,-0.96
2026-03-03,Growth,-1.108,9089.172,-9.108
2026-03-04,Conservative,0.19300000000000003,9923.145,-0.769
2026-03-04,Growth,2.234,9292.224,-7.078
2026-03-05,Conservative,-1.664,9758.024,-2.42
2026-03-05,Growth,0.09799999999999998,9301.331,-6.987
2026-03-06,Conservative,-1.085,9652.149,-3.479
2026-03-06,Growth,-2.3185,9085.679,-9.143
2026-03-09,Conservative,-0.4609999999999999,9607.653,-3.923
2026-03-09,Growth,1.159,9190.982,-8.09
2026-03-10,Conservative,0.345,9640.799,-3.592
2026-03-10,Growth,0.5545,9241.946,-7.581
2026-03-11,Conservative,-0.15,9626.338,-3.737
2026-03-11,Growth,0.5475,9292.546,-7.075
2026-03-12,Conservative,-1.621,9470.295,-5.297
2026-03-12,Growth,-2.0055,9106.184,-8.938
2026-03-13,Conservative,-0.75,9399.268,-6.007
2026-03-13,Growth,-1.3784999999999998,8980.655,-10.193
2026-03-16,Conservative,0.8069999999999999,9475.12,-5.249
2026-03-16,Growth,1.4785,9113.434,-8.866
2026-03-17,Conservative,-0.351,9441.862,-5.581
2026-03-17,Growth,0.5445,9163.057,-8.369
2026-03-18,Conservative,-1.305,9318.646,-6.814
2026-03-18,Growth,-1.6175000000000002,9014.845,-9.852
2026-03-19,Conservative,-0.03800000000000002,9315.105,-6.849
2026-03-19,Growth,-1.3115,8896.615,-11.034
2026-03-20,Conservative,-0.351,9282.409,-7.176
2026-03-20,Growth,-2.277,8694.039,-13.06
2026-03-23,Conservative,0.569,9335.226,-6.648
2026-03-23,Growth,2.247,8889.394,-11.106
2026-03-24,Conservative,0.662,9397.025,-6.03
2026-03-24,Growth,-0.26549999999999996,8865.793,-11.342
2026-03-25,Conservative,1.278,9517.119,-4.829
2026-03-25,Growth,1.405,8990.357,-10.096
2026-03-26,Conservative,-0.374,9481.525,-5.185
2026-03-26,Growth,-2.6159999999999997,8755.169,-12.448
2026-03-27,Conservative,-1.755,9315.124,-6.849
2026-03-27,Growth,-2.6525,8522.938,-14.771
2026-03-30,Conservative,0.79,9388.714,-6.113
2026-03-30,Growth,-0.8440000000000001,8451.005,-15.49
2026-03-31,Conservative,2.634,9636.012,-3.64
2026-03-31,Growth,4.327,8816.68,-11.833
2026-04-01,Conservative,0.188,9654.128,-3.459
2026-04-01,Growth,1.292,8930.591,-10.694
2026-04-02,Conservative,-0.6719999999999999,9589.252,-4.107
2026-04-02,Growth,-1.149,8827.979,-11.72
2026-04-06,Conservative,0.2779999999999999,9615.91,-3.841
2026-04-06,Growth,0.09450000000000003,8836.321,-11.637
2026-04-07,Conservative,0.088,9624.372,-3.756
2026-04-07,Growth,-0.6585,8778.134,-12.219
2026-04-08,Conservative,2.767,9890.679,-1.093
2026-04-08,Growth,1.7249999999999999,8929.557,-10.704
2026-04-09,Conservative,0.7869999999999999,9968.518,-0.315
2026-04-09,Growth,1.9974999999999998,9107.925,-8.921
2026-04-10,Conservative,-0.797,9889.069,-1.109
2026-04-10,Growth,1.516,9246.001,-7.54
2026-04-13,Conservative,0.647,9953.052,-0.469
2026-04-13,Growth,0.415,9284.372,-7.156
2026-04-14,Conservative,0.3020000000000001,9983.11,-0.169
2026-04-14,Growth,2.8994999999999997,9553.572,-4.464
2026-04-15,Conservative,-0.08499999999999996,9974.624,-0.254
2026-04-15,Growth,2.8005,9821.12,-1.789
2026-04-16,Conservative,-0.34600000000000003,9940.112,-0.599
2026-04-16,Growth,-0.381,9783.702,-2.163
2026-04-17,Conservative,0.16999999999999998,9957.01,-0.43
2026-04-17,Growth,1.8595,9965.629,-0.344
2026-04-20,Conservative,-0.07699999999999996,9949.343,-0.507
2026-04-20,Growth,-0.47,9918.791,-0.812
2026-04-21,Conservative,-0.893,9860.496,-1.395
2026-04-21,Growth,-1.0505,9814.594,-1.854
2026-04-22,Conservative,-0.654,9796.008,-2.04
2026-04-22,Growth,1.534,9965.15,-0.349
2026-04-23,Conservative,-0.04600000000000004,9791.502,-2.085
2026-04-23,Growth,-1.3205,9833.56,-1.664
2026-04-24,Conservative,-1.0630000000000002,9687.418,-3.126
